tool	VeriAbs 1.4	VeriAbs 1.4	VeriAbs 1.4	VeriAbs 1.4	CPAchecker 1.9.1-svn	CPAchecker 1.9.1-svn	CPAchecker 1.9.1-svn	CPAchecker 1.9.1-svn	CPAchecker 1.9.1-svn	CPAchecker 1.9.1-svn	CPAchecker 1.9.1-svn	CPAchecker 1.9.1-svn	CPAchecker 1.9.1-svn	CPAchecker 1.9.1-svn	CPAchecker 1.9.1-svn	CPAchecker 1.9.1-svn
..\..\..\sv-benchmarks\c\loops\ludcmp.yml	false(unreach-call)	45.686518614	28.866991323000548	1493.909504	OUT OF MEMORY	275.736802449	244.77417315309867	14999.998463999998	OUT OF MEMORY	287.111437665	256.0692693977617	14999.998463999998	EXCEPTION	10.245782016	13.354183860006742	239.47263999999998
..\..\..\sv-benchmarks\c\loops\matrix-1.yml	true	24.677668382	9.071182699999554	378.576896	true	10.245943088	4.226341180037707	254.349312	true	11.328842164	4.5371910613030195	284.9792	true	8.49357024	3.8889554720080923	198.815744
..\..\..\sv-benchmarks\c\loops\matrix-2.yml	false(unreach-call)	728.759855701	699.0437337369995	9115.738112	false(unreach-call)	22.48003151	5.954169636126608	392.863744	false(unreach-call)	23.448564551	6.269603386987001	416.292864	false(unreach-call)	8.159186204	3.670419093017699	189.845504
..\..\..\sv-benchmarks\c\loops\n.c11.yml	unknown	417.157064941	405.3673175699996	465.948672	true	9.494343634	3.702562357066199	273.395712	true	10.14570831	3.8819125536829233	256.753664	true	9.280279073	3.9380440000095405	208.171008
..\..\..\sv-benchmarks\c\loops\n.c24.yml	TIMEOUT	900.951318389	872.387461626	2751.438848	TIMEOUT	901.202843593	426.97866113018245	858.349568	TIMEOUT	901.56588405	417.71706906799227	914.640896	TIMEOUT	900.947795086	838.2743738979916	2208.256
..\..\..\sv-benchmarks\c\loops\n.c40.yml	true	30.355828187	13.767463035000219	329.895936	true	9.045447577	3.625850585056469	255.34464	true	9.81809814	3.9008558341301978	248.385536	true	10.71147224	5.92171001600218	207.138816
..\..\..\sv-benchmarks\c\loops\nec11.yml	false(unreach-call)	16.53869779	6.330994736999855	190.13631999999998	false(unreach-call)	8.668522479	3.4935295111499727	239.251456	false(unreach-call)	9.118905317	3.6572998277843	241.963008	false(unreach-call)	7.493896561	3.361610516003566	186.71616
..\..\..\sv-benchmarks\c\loops\nec20.yml	false(unreach-call)	7.772792059	3.0637327699996604	143.21663999999998	false(unreach-call)	12.012656827	4.126279162010178	329.416704	false(unreach-call)	12.417311957	4.268699496984482	282.50112	false(unreach-call)	7.990192712	3.5433051630097907	186.12224
..\..\..\sv-benchmarks\c\loops\nec40.yml	true	33.943820003	16.347780111000247	351.690752	true	8.981804929	3.5905501910019666	250.01164799999998	true	9.924927403	3.8493363298475742	248.76646399999998	true	8.853511993	4.3936283929797355	198.54540799999998
..\..\..\sv-benchmarks\c\loops\s3.yml	false(unreach-call)	146.731626503	107.31553469400023	869.5357439999999	TIMEOUT	901.086018799	433.32169521204196	1133.17888	TIMEOUT	901.846898607	418.6078348881565	1231.552512	false(unreach-call)	50.548977977	33.326064857974416	411.17696
..\..\..\sv-benchmarks\c\loops\string-1.yml	true	17.797369052	7.0514268180004365	149.81119999999999	true	16.660586559	4.873806392075494	352.165888	true	17.268669028	5.048682238906622	351.121408	true	8.186979871	3.5335695139947347	190.42304
..\..\..\sv-benchmarks\c\loops\string-2.yml	false(unreach-call)	36.204347376	14.406247938999513	242.491392	false(unreach-call)	169.014721466	63.64990377589129	1222.98368	false(unreach-call)	325.836123197	133.22978536318988	1593.2415999999998	false(unreach-call)	12.275545423	4.973867333988892	265.273344
..\..\..\sv-benchmarks\c\loops\sum01-1.yml	false(unreach-call)	22.607979946	8.99153314599971	273.453056	false(unreach-call)	22.215579553	5.8140613390132785	383.086592	false(unreach-call)	22.992675286	6.1446271617896855	390.467584	false(unreach-call)	13.058821842	5.125939811987337	247.65644799999998
..\..\..\sv-benchmarks\c\loops\sum01-2.yml	true	87.872854085	33.883489981999446	1041.1540479999999	true	117.097907239	39.81049557006918	1406.574592	true	124.342274832	40.4328612270765	1410.2732799999999	TIMEOUT	901.79579626	818.318057817989	1832.800256
..\..\..\sv-benchmarks\c\loops\sum01_bug02.yml	false(unreach-call)	21.229206248	8.723008012999344	288.043008	false(unreach-call)	18.744373802	5.278479468077421	418.29580799999997	false(unreach-call)	20.0370492	5.677427438087761	375.43526399999996	false(unreach-call)	10.310542941	4.334086785995169	233.8816
..\..\..\sv-benchmarks\c\loops\sum01_bug02_sum01_bug02_base.case.yml	false(unreach-call)	19.724781748	8.58692541399978	300.23679999999996	false(unreach-call)	13.907522629	4.378845516825095	356.941824	false(unreach-call)	15.342051361	4.701481334399432	341.84396799999996	false(unreach-call)	8.87123227	3.8140244679816533	200.68352
..\..\..\sv-benchmarks\c\loops\sum03-1.yml	false(unreach-call)	20.746705837	7.927119343000413	219.168768	false(unreach-call)	20.935575965	5.9581649110186845	387.87072	false(unreach-call)	22.51078022	6.373083678074181	371.54816	false(unreach-call)	12.753969221	5.2839940109988675	239.710208
..\..\..\sv-benchmarks\c\loops\sum03-2.yml	true	16.387737583	5.711546599999565	350.736384	true	10.193518096	3.8021100990008563	265.25696	true	11.11617897	4.073496576398611	278.36006399999997	true	184.771972114	156.1187181189889	599.375872
..\..\..\sv-benchmarks\c\loops\sum04-1.yml	false(unreach-call)	20.053935023	8.110459378000087	248.057856	false(unreach-call)	14.427613904	4.914066590135917	302.61248	false(unreach-call)	15.718817312	5.225362473167479	315.830272	false(unreach-call)	10.325091025	4.292268866003724	232.685568
..\..\..\sv-benchmarks\c\loops\sum04-2.yml	true	15.7064017	5.6873538600002576	335.41734399999996	true	10.018808373	3.735045281937346	260.050944	true	10.534841876	3.953406486660242	262.238208	true	10.95711311	4.4984398469969165	223.830016
..\..\..\sv-benchmarks\c\loops\sum_array-1.yml	false(unreach-call)	5.369233204	2.1152608120000878	146.333696	false(unreach-call)	25.079320263	6.266558418050408	405.56134399999996	false(unreach-call)	27.136813805	6.872953927144408	417.538048	false(unreach-call)	8.466903001	3.938547565980116	199.159808
..\..\..\sv-benchmarks\c\loops\sum_array-2.yml	true	32.333606612	21.591501066999626	146.45247999999998	TIMEOUT	903.068341102	437.5619654690381	1891.377152	TIMEOUT	901.905829737	426.14155757892877	1887.494144	EXCEPTION	8.353695836	12.95762881601695	191.80748799999998
..\..\..\sv-benchmarks\c\loops\terminator_01.yml	false(unreach-call)	13.009812815	4.975011968999752	210.857984	false(unreach-call)	8.501921316	3.4260544378776103	239.43987199999998	false(unreach-call)	9.093793116	3.700721086934209	241.025024	false(unreach-call)	7.495461041	3.3982415100035723	195.923968
..\..\..\sv-benchmarks\c\loops\terminator_02-1.yml	false(unreach-call)	16.896915431	6.691133536000052	206.430208	false(unreach-call)	8.579763848	3.438128011999652	246.00166399999998	false(unreach-call)	8.447755031	3.588712896220386	228.093952	false(unreach-call)	7.381844562	3.2734918800124433	186.51136
..\..\..\sv-benchmarks\c\loops\terminator_02-2.yml	true	17.026840267	5.855420220000269	341.22547199999997	true	10.421197403	3.9103644299320877	280.18278399999997	true	10.906380824	4.04724186565727	271.273984	true	7.660385038	3.4145966729847714	185.012224
..\..\..\sv-benchmarks\c\loops\terminator_03-1.yml	false(unreach-call)	13.325321945	5.0912025509996965	212.717568	false(unreach-call)	8.817132657	3.572060512145981	246.894592	false(unreach-call)	9.082838709	3.5699090999551117	246.611968	false(unreach-call)	7.859328758	3.4180496360058896	188.46105599999999
..\..\..\sv-benchmarks\c\loops\terminator_03-2.yml	true	15.719312952	5.747475264000059	333.0048	true	9.494408831	3.638175379950553	264.589312	true	9.927853395	3.769508341792971	260.54656	true	7.798726794	3.4422017989854794	198.639616
..\..\..\sv-benchmarks\c\loops\trex01-1.yml	false(unreach-call)	18.555230391	7.203366168000684	215.158784	false(unreach-call)	9.265970357	3.574187943013385	259.072	false(unreach-call)	9.51722863	3.764874510001391	255.115264	false(unreach-call)	7.528092126	3.3734479490085505	187.09708799999999
..\..\..\sv-benchmarks\c\loops\trex01-2.yml	true	15.905320454	5.4071275180003795	335.19206399999996	true	10.624965291	3.9701779671013355	262.651904	true	11.518688544	4.161618592217565	263.397376	true	35.196292031	17.362163365993183	372.87526399999996
..\..\..\sv-benchmarks\c\loops\trex02-1.yml	true	14.175947974	5.035394765000092	314.159104	true	8.843548117	3.511802294990048	241.48377599999998	true	9.131048062	3.6450816793367267	244.932608	true	7.462902287	3.4264421540137846	187.539456
..\..\..\sv-benchmarks\c\loops\trex02-2.yml	false(unreach-call)	17.142095763	6.618866427999819	191.905792	false(unreach-call)	8.573653022	3.4101169218774885	245.6576	false(unreach-call)	9.044207324	3.5696630869060755	238.354432	false(unreach-call)	7.322056277	3.3382645070087165	183.02566399999998
..\..\..\sv-benchmarks\c\loops\trex03-1.yml	false(unreach-call)	18.009647917	6.926974576000248	210.808832	false(unreach-call)	8.481844574	3.5576820359565318	232.12032	false(unreach-call)	9.278258643	3.768551758956164	254.22233599999998	false(unreach-call)	7.647232619	3.4255811649782117	189.722624
..\..\..\sv-benchmarks\c\loops\trex03-2.yml	true	16.135353772	5.710681837000266	320.835584	true	10.398204171	3.8300338899716735	271.37228799999997	true	10.495651505	3.9058126620948315	258.445312	true	7.403639476	3.3264246589969844	189.66528
..\..\..\sv-benchmarks\c\loops\trex04.yml	true	14.904001632	5.266401421999944	312.938496	true	9.598521409	3.7144552210811526	263.40556799999996	true	10.105225078	3.8533711689524353	271.491072	true	7.908820479	3.4982386939809658	188.78464
..\..\..\sv-benchmarks\c\loops\veris.c_NetBSD-libc_loop.yml	true	19.711079923	6.879467185000067	376.336384	true	11.050134915	3.9614439450670034	279.793664	true	11.395271281	4.109493660740554	281.243648	true	8.278810144	3.753851549990941	197.881856
..\..\..\sv-benchmarks\c\loops\veris.c_OpenSER_cases1_stripFullBoth_arr.yml	true	67.558544784	42.71158199099955	471.642112	true	25.810220866	6.618516930844635	417.91488	true	26.810182212	6.90184021089226	414.756864	true	8.404035438	3.582453503011493	189.784064
..\..\..\sv-benchmarks\c\loops\veris.c_sendmail_tTflag_arr_one_loop.yml	true	18.809762835	6.706367124999815	339.80415999999997	true	9.065339044	3.602444176096469	248.52889599999997	true	9.641635319	3.7059866320341825	260.538368	true	7.652161927	3.418209047988057	186.761216
..\..\..\sv-benchmarks\c\loops\verisec_NetBSD-libc_loop.yml	false(unreach-call)	20.857109177	8.06309807999969	216.293376	false(unreach-call)	11.235721915	3.970417093951255	279.21612799999997	false(unreach-call)	11.545652504	4.047162814997137	273.59232	false(unreach-call)	7.935208532	3.628331584011903	196.825088
..\..\..\sv-benchmarks\c\loops\verisec_OpenSER_cases1_stripFullBoth_arr.yml	false(unreach-call)	38.204278379	23.950924902000224	222.07283199999998	false(unreach-call)	58.928936939	14.294271894032136	523.169792	false(unreach-call)	61.819792153	14.753113375976682	621.4123519999999	false(unreach-call)	9.200908592	3.9179032029933296	200.66304
..\..\..\sv-benchmarks\c\loops\vogal-1.yml	true	102.388142782	35.58664454400059	811.671552	true	242.128595808	101.97480974602513	960.12288	true	601.217517252	269.365932200104	1408.172032	TIMEOUT	901.372872948	876.0146329739946	526.7128319999999
..\..\..\sv-benchmarks\c\loops\vogal-2.yml	false(unreach-call)	76.481375902	55.31906207799966	329.781248	false(unreach-call)	158.666833261	61.36147846211679	1024.397312	false(unreach-call)	307.395790348	127.62451243912801	1105.321984	false(unreach-call)	70.841197543	56.66959814899019	359.051264
..\..\..\sv-benchmarks\c\loops\while_infinite_loop_1.yml	true	13.577948635	4.8635522230006245	318.8736	true	8.265064676	3.374383694026619	238.866432	true	8.561357965	3.5570764490403235	231.092224	true	7.141019435	3.2701992639922537	184.614912
..\..\..\sv-benchmarks\c\loops\while_infinite_loop_2.yml	true	13.132625703	4.866944782999781	310.009856	true	8.221204881	3.386496606050059	235.196416	true	8.866297973	3.565344699192792	233.762816	true	7.55391792	3.4123329159920104	188.694528
..\..\..\sv-benchmarks\c\loops\while_infinite_loop_3.yml	true	13.578426027	4.943573974999708	310.51776	true	7.884502965	3.378500415943563	232.81663999999998	true	8.679805915	3.5974138993769884	226.9184	true	7.47960916	3.2956878110126127	191.455232
..\..\..\sv-benchmarks\c\loops\while_infinite_loop_4.yml	false(unreach-call)	11.897854512	4.623453651000091	208.396288	false(unreach-call)	8.408733953	3.3747756879311055	238.821376	false(unreach-call)	8.213502451	3.488763175904751	223.571968	false(unreach-call)	7.062307966	3.2660528759879526	187.29369599999998
..\..\..\sv-benchmarks\c\loop-acceleration\array_1-1.yml	false(unreach-call)	229.8557749	205.303740155	1162.6618879999999	TIMEOUT	901.093185638	856.2826697458513	1060.036608	TIMEOUT	901.217819777	853.465231756214	994.082816	TIMEOUT	901.878079297	838.714125183993	2247.172096
..\..\..\sv-benchmarks\c\loop-acceleration\array_1-2.yml	true	20.474946432	7.6670729150000625	342.286336	true	9.339118467	3.7859887569211423	259.64544	true	10.57707242	4.086380131077021	245.989376	TIMEOUT	901.553646977	835.0379271559941	2263.166976
..\..\..\sv-benchmarks\c\loop-acceleration\array_2-1.yml	false(unreach-call)	5.059766533	2.018585423999866	137.039872	TIMEOUT	901.964359023	814.4188248261344	1256.513536	TIMEOUT	901.500463264	804.188030609861	1086.009344	TIMEOUT	901.082786417	840.5880175229977	2166.603776
..\..\..\sv-benchmarks\c\loop-acceleration\array_2-2.yml	true	4.967788955	2.0152353929997844	139.538432	TIMEOUT	901.20697002	810.0138902370818	1003.380736	TIMEOUT	902.918345028	800.6934739309363	1187.08224	TIMEOUT	901.274898788	840.2853770739748	2170.933248
..\..\..\sv-benchmarks\c\loop-acceleration\array_3-1.yml	true	14.64102017	5.583352070999354	146.65728	true	8.213485326	3.510009191930294	213.7088	true	11.348265893	4.340535477269441	251.47392	TIMEOUT	900.805595467	839.3779651969962	2216.812544
..\..\..\sv-benchmarks\c\loop-acceleration\array_3-2.yml	false(unreach-call)	558.591119132	529.179388308	1113.5672319999999	TIMEOUT	900.955186111	815.1584944119677	1752.113152	TIMEOUT	901.338085765	809.0244113733061	1878.75328	TIMEOUT	901.388480116	839.9940728379879	2216.50944
..\..\..\sv-benchmarks\c\loop-acceleration\array_4.yml	true	14.973709914	5.739356276000763	141.713408	TIMEOUT	901.696362527	428.69716015900485	1775.4931199999999	TIMEOUT	902.180102442	417.6285148737952	1710.071808	TIMEOUT	900.664983759	842.6016449690214	2188.587008
..\..\..\sv-benchmarks\c\loop-acceleration\const_1-1.yml	true	14.523804457	5.451291120999485	314.33523199999996	true	8.723302436	3.5217187758535147	244.61311999999998	true	9.395215338	3.6971018300391734	245.628928	true	7.568463183	3.3876400220033247	192.479232
..\..\..\sv-benchmarks\c\loop-acceleration\const_1-2.yml	false(unreach-call)	224.377872184	203.5510682110007	1453.11744	TIMEOUT	901.01887858	575.7308970422018	1102.7742719999999	TIMEOUT	901.37597816	575.3503966312855	1068.609536	TIMEOUT	901.6402737	847.5616383589804	3080.1510399999997
..\..\..\sv-benchmarks\c\loop-acceleration\diamond_1-1.yml	true	49.172299064	17.13836680299937	773.8449919999999	true	62.770649249	21.093418407952413	605.560832	true	65.047837771	21.741305841133	601.5057919999999	true	361.766107132	343.258147851011	914.087936
..\..\..\sv-benchmarks\c\loop-acceleration\diamond_1-2.yml	false(unreach-call)	70.803964306	50.55122209000001	457.63379199999997	false(unreach-call)	99.084811794	38.009476411156356	641.388544	false(unreach-call)	101.564718605	39.189142858143896	688.979968	false(unreach-call)	91.01505627	69.05800314599765	464.90009599999996
..\..\..\sv-benchmarks\c\loop-acceleration\diamond_2-2.yml	true	31.324084105	11.65031677099978	501.878784	true	26.635420209	6.949262619018555	402.407424	true	27.990456231	7.212754121981561	470.60992	true	11.812666613	5.165397955017397	246.31295999999998
..\..\..\sv-benchmarks\c\loop-acceleration\functions_1-1.yml	true	85.764112596	34.05876271700072	902.569984	TIMEOUT	900.503194264	434.8417062719818	1016.373248	TIMEOUT	901.081805333	425.10986716486514	1095.012352	TIMEOUT	900.657431393	870.4980003389937	1477.566464
..\..\..\sv-benchmarks\c\loop-acceleration\functions_1-2.yml	unknown	27.121014448	16.21543221399952	450.80166399999996	TIMEOUT	900.468354032	435.8860277561471	1134.6943999999999	TIMEOUT	901.197102746	424.3337393468246	991.490048	TIMEOUT	901.172061036	866.3858270460041	1473.4254079999998
..\..\..\sv-benchmarks\c\loop-acceleration\multivar_1-1.yml	true	14.966504089	5.511552178000784	313.298944	true	8.374370416	3.4253770080395043	229.26540799999998	true	8.967244112	3.6093655060976744	241.73772799999998	true	7.533405671	3.3395386670017615	190.877696
..\..\..\sv-benchmarks\c\loop-acceleration\multivar_1-2.yml	false(unreach-call)	13.023538337	5.123532839999825	208.60927999999998	false(unreach-call)	8.283349208	3.3697280432097614	242.34393599999999	false(unreach-call)	8.953266416	3.513603473082185	243.822592	false(unreach-call)	7.125998872	3.254377239034511	185.061376
..\..\..\sv-benchmarks\c\loop-acceleration\nested_1-1.yml	true	13.813961268	4.965260722001403	325.16096	true	8.690607435	3.465133863966912	237.39596799999998	true	9.251224085	3.6659792196005583	244.281344	TIMEOUT	900.65729106	836.2738084730227	4467.388416
..\..\..\sv-benchmarks\c\loop-acceleration\nested_1-2.yml	false(unreach-call)	226.592737343	203.0273442329999	2271.6989439999998	TIMEOUT	901.766362606	423.19378633005545	1340.612608	TIMEOUT	902.163763636	412.5335367852822	1333.3749759999998	TIMEOUT	901.48005622	847.4464743270073	4387.147776
..\..\..\sv-benchmarks\c\loop-acceleration\overflow_1-1.yml	true	84.640459595	34.04277249600091	944.14848	TIMEOUT	901.040308964	436.71800430398434	937.050112	TIMEOUT	901.164807024	424.0649399426766	950.2433279999999	TIMEOUT	900.727129782	836.2734933629981	2237.599744
..\..\..\sv-benchmarks\c\loop-acceleration\phases_1-1.yml	true	244.095217411	188.95917583299888	6713.171968	TIMEOUT	901.171212067	435.1737659238279	1002.5492479999999	TIMEOUT	900.955602838	425.6704225917347	933.5644159999999	TIMEOUT	902.408947457	878.694215289026	428.171264
..\..\..\sv-benchmarks\c\loop-acceleration\phases_1-2.yml	false(unreach-call)	378.004430743	358.4227175920005	6837.551104	TIMEOUT	900.502920986	435.8823488841299	990.1793279999999	TIMEOUT	901.1433142	425.08576693898067	1154.465792	TIMEOUT	902.348891036	879.5817879699753	429.064192
..\..\..\sv-benchmarks\c\loop-acceleration\phases_2-1.yml	false(unreach-call)	12.164986073	4.678857771999901	176.20991999999998	false(unreach-call)	8.701937862	3.4699747550766915	243.597312	false(unreach-call)	11.188352429	4.496607082895935	239.517696	false(unreach-call)	7.446524115	3.297433161002118	184.950784
..\..\..\sv-benchmarks\c\loop-acceleration\phases_2-2.yml	true	13.89231358	5.027424087998952	313.442304	true	8.433619382	3.4318960239179432	230.43686399999999	true	10.996807231	4.440650713164359	249.565184	true	7.278562311	3.336625626019668	187.00288
..\..\..\sv-benchmarks\c\loop-acceleration\simple_1-1.yml	false(unreach-call)	225.187444634	203.6473583980005	1264.484352	TIMEOUT	900.439302828	435.828211680986	903.6595199999999	TIMEOUT	901.604057721	421.41748831793666	838.004736	TIMEOUT	901.253526132	851.0899508320144	2337.4684159999997
..\..\..\sv-benchmarks\c\loop-acceleration\simple_1-2.yml	true	84.956104144	34.2154267650003	866.4801279999999	TIMEOUT	900.528704191	436.56987212295644	985.7146879999999	TIMEOUT	901.092477903	422.89285708172247	1250.054144	TIMEOUT	900.9091724	840.0134855239885	2222.395392
..\..\..\sv-benchmarks\c\loop-acceleration\simple_2-1.yml	true	13.491734175	4.891449636001198	318.345216	true	8.37700676	3.4138902600388974	239.702016	true	11.701323281	4.5934580457396805	231.190528	true	7.564739735	3.3178789749508724	193.98656
..\..\..\sv-benchmarks\c\loop-acceleration\simple_2-2.yml	false(unreach-call)	12.681982741	5.059350857000027	208.56832	false(unreach-call)	8.165341425	3.422387723112479	237.715456	false(unreach-call)	11.638125794	4.884157871361822	220.09856	false(unreach-call)	7.116747503	3.234303320001345	186.740736
..\..\..\sv-benchmarks\c\loop-acceleration\simple_3-1.yml	false(unreach-call)	17.969676824	7.039255587000298	196.251648	false(unreach-call)	8.24557601	3.394702237797901	235.614208	false(unreach-call)	11.016473359	4.556620744057	233.660416	false(unreach-call)	7.265526683	3.298134594981093	192.053248
